Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1672739100000,1675442700000

timezoneOffsetInMs,unixTimestampInMs,isoDate,durationInMs,activityType,activeTimeInMs,steps,distanceInMeters,activeKilocalories,met,intensity,meanMotionIntensity,maxMotionIntensity
28800000,1672739100000,2023-01-03T17:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
28800000,1672740000000,2023-01-03T18:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
28800000,1672740900000,2023-01-03T18:15:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
28800000,1672741800000,2023-01-03T18:30:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
28800000,1672742700000,2023-01-03T18:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
28800000,1672743600000,2023-01-03T19:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,5
28800000,1672744500000,2023-01-03T19:15:00.000+08:00,900000,WALKING,15000,19,15.56,0,1,ACTIVE,2,2
28800000,1672744500000,2023-01-03T19:15:00.000+08:00,900000,SEDENTARY,885000,0,0,0,1,SEDENTARY,0,4
28800000,1672745400000,2023-01-03T19:30:00.000+08:00,900000,WALKING,30000,47,38.49,1,2.3230007,ACTIVE,3,3
28800000,1672745400000,2023-01-03T19:30:00.000+08:00,900000,SEDENTARY,870000,0,0,0,1,SEDENTARY,0,3
28800000,1672746300000,2023-01-03T19:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
28800000,1672747200000,2023-01-03T20:00:00.000+08:00,900000,WALKING,240000,350,286.65,7,2.1576254,ACTIVE,2,2
28800000,1672747200000,2023-01-03T20:00:00.000+08:00,900000,SEDENTARY,660000,0,0,0,1,SEDENTARY,0,5
28800000,1672748100000,2023-01-03T20:15:00.000+08:00,900000,WALKING,240000,108,88.46,6,1.9922504,ACTIVE,1.75,2
28800000,1672748100000,2023-01-03T20:15:00.000+08:00,900000,SEDENTARY,660000,0,0,0,1,SEDENTARY,0,5
28800000,1672749000000,2023-01-03T20:30:00.000+08:00,900000,WALKING,600000,948,776.41,35,3.3152509,ACTIVE,2,2
28800000,1672749000000,2023-01-03T20:30:00.000+08:00,900000,SEDENTARY,300000,0,0,0,1,SEDENTARY,0,3
28800000,1672749900000,2023-01-03T20:45:00.000+08:00,900000,WALKING,480000,167,136.77,14,2.1576254,ACTIVE,2.25,3
28800000,1672749900000,2023-01-03T20:45:00.000+08:00,900000,SEDENTARY,420000,0,0,0,1,SEDENTARY,0,6
28800000,1672750800000,2023-01-03T21:00:00.000+08:00,900000,SEDENTARY,300000,0,0,0,1,SEDENTARY,0,5
28800000,1672750800000,2023-01-03T21:00:00.000+08:00,900000,WALKING,600000,623,510.24,9,1.5953503,ACTIVE,1.9,3
28800000,1672751700000,2023-01-03T21:15:00.000+08:00,900000,WALKING,420000,544,445.53,11,2.0395005,ACTIVE,2.142857142857143,3
28800000,1672751700000,2023-01-03T21:15:00.000+08:00,900000,SEDENTARY,480000,0,0,0,1,SEDENTARY,0,4
28800000,1672752600000,2023-01-03T21:30:00.000+08:00,900000,SEDENTARY,60000,0,0,0,1,SEDENTARY,0,4
28800000,1672752600000,2023-01-03T21:30:00.000+08:00,900000,WALKING,840000,840,687.96,18,1.8505003,ACTIVE,1.9285714285714286,2
28800000,1672753500000,2023-01-03T21:45:00.000+08:00,900000,WALKING,780000,602,493.04,11,1.559731,ACTIVE,2.4615384615384617,4
28800000,1672753500000,2023-01-03T21:45:00.000+08:00,900000,SEDENTARY,120000,0,0,0,1,SEDENTARY,0,6
28800000,1672754400000,2023-01-03T22:00:00.000+08:00,900000,SEDENTARY,300000,0,0,0,1,SEDENTARY,0,6
28800000,1672754400000,2023-01-03T22:00:00.000+08:00,900000,WALKING,600000,131,107.29,12,1.7938004,ACTIVE,1.7,2
28800000,1672755300000,2023-01-03T22:15:00.000+08:00,900000,SEDENTARY,240000,0,0,0,1,SEDENTARY,0,5
28800000,1672755300000,2023-01-03T22:15:00.000+08:00,900000,WALKING,660000,331,271.09,13,1.7817731,ACTIVE,2.272727272727273,3
28800000,1672756200000,2023-01-03T22:30:00.000+08:00,900000,WALKING,135000,110,90.09,2,1.5880002,ACTIVE,3.4444444444444446,4
28800000,1672756200000,2023-01-03T22:30:00.000+08:00,900000,SEDENTARY,765000,0,0,0,1,SEDENTARY,0,5
28800000,1672757100000,2023-01-03T22:45:00.000+08:00,900000,SEDENTARY,828000,0,0,0,1,SEDENTARY,0,6
28800000,1672757100000,2023-01-03T22:45:00.000+08:00,900000,WALKING,72000,107,87.63,1,1.5512502,ACTIVE,3.4305555555555554,4
28800000,1672758000000,2023-01-03T23:00:00.000+08:00,900000,WALKING,168000,71,58.15,6,2.4175007,ACTIVE,2.357142857142857,3
28800000,1672758000000,2023-01-03T23:00:00.000+08:00,900000,SEDENTARY,732000,0,0,0,1,SEDENTARY,0,5
28800000,1672758900000,2023-01-03T23:15:00.000+08:00,900000,WALKING,60000,10,8.19,2,2.3230007,ACTIVE,1,1
28800000,1672758900000,2023-01-03T23:15:00.000+08:00,900000,SEDENTARY,840000,0,0,0,1,SEDENTARY,0,5
28800000,1672759800000,2023-01-03T23:30:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672760700000,2023-01-03T23:45:00.000+08:00,900000,SEDENTARY,900000,0,0.03,0,1,SEDENTARY,0,2
28800000,1672761600000,2023-01-04T00:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672762500000,2023-01-04T00:15:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672763400000,2023-01-04T00:30:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672764300000,2023-01-04T00:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672765200000,2023-01-04T01:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672766100000,2023-01-04T01:15:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672767000000,2023-01-04T01:30:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672767900000,2023-01-04T01:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672768800000,2023-01-04T02:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672769700000,2023-01-04T02:15:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672770600000,2023-01-04T02:30:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672771500000,2023-01-04T02:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672772400000,2023-01-04T03:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672773300000,2023-01-04T03:15:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672774200000,2023-01-04T03:30:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672775100000,2023-01-04T03:45:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
28800000,1672776000000,2023-01-04T04:00:00.000+08:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
