Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166467000,1675645200000

timezone,unixTimestampInMs,isoDate,deviceType,durationInMs,steps,totalSteps
Asia/Taipei,1675166467000,2023-01-31T20:01:07.000+08:00,,53,0,0
Asia/Taipei,1675166520000,2023-01-31T20:02:00.000+08:00,,60,0,0
Asia/Taipei,1675166580000,2023-01-31T20:03:00.000+08:00,,27,0,0
Asia/Taipei,1675166700000,2023-01-31T20:05:00.000+08:00,,60,0,0
Asia/Taipei,1675166760000,2023-01-31T20:06:00.000+08:00,,60,0,0
Asia/Taipei,1675166820000,2023-01-31T20:07:00.000+08:00,,60,0,0
Asia/Taipei,1675166940000,2023-01-31T20:09:00.000+08:00,,60,0,0
Asia/Taipei,1675167000000,2023-01-31T20:10:00.000+08:00,,60,0,0
Asia/Taipei,1675167120000,2023-01-31T20:12:00.000+08:00,,60,0,0
Asia/Taipei,1675167660000,2023-01-31T20:21:00.000+08:00,,60,0,0
Asia/Taipei,1675167720000,2023-01-31T20:22:00.000+08:00,,60,0,0
Asia/Taipei,1675167780000,2023-01-31T20:23:00.000+08:00,,60,0,0
Asia/Taipei,1675168080000,2023-01-31T20:28:00.000+08:00,,60,0,0
Asia/Taipei,1675168200000,2023-01-31T20:30:00.000+08:00,,60,0,0
Asia/Taipei,1675168380000,2023-01-31T20:33:00.000+08:00,,60,0,0
Asia/Taipei,1675168560000,2023-01-31T20:36:00.000+08:00,,60,0,0
Asia/Taipei,1675168680000,2023-01-31T20:38:00.000+08:00,,60,0,0
Asia/Taipei,1675168920000,2023-01-31T20:42:00.000+08:00,,60,0,0
Asia/Taipei,1675168980000,2023-01-31T20:43:00.000+08:00,,60,0,0
Asia/Taipei,1675169220000,2023-01-31T20:47:00.000+08:00,,60,0,0
Asia/Taipei,1675169280000,2023-01-31T20:48:00.000+08:00,,60,0,0
Asia/Taipei,1675169820000,2023-01-31T20:57:00.000+08:00,,60,0,0
Asia/Taipei,1675169880000,2023-01-31T20:58:00.000+08:00,,60,0,0
Asia/Taipei,1675170000000,2023-01-31T21:00:00.000+08:00,,60,0,0
Asia/Taipei,1675170120000,2023-01-31T21:02:00.000+08:00,,60,0,0
Asia/Taipei,1675170420000,2023-01-31T21:07:00.000+08:00,,60,0,0
Asia/Taipei,1675170480000,2023-01-31T21:08:00.000+08:00,,60,0,0
Asia/Taipei,1675170540000,2023-01-31T21:09:00.000+08:00,,60,0,0
Asia/Taipei,1675170600000,2023-01-31T21:10:00.000+08:00,,60,0,0
Asia/Taipei,1675170660000,2023-01-31T21:11:00.000+08:00,,60,0,0
Asia/Taipei,1675170720000,2023-01-31T21:12:00.000+08:00,,60,0,0
Asia/Taipei,1675170780000,2023-01-31T21:13:00.000+08:00,,60,0,0
Asia/Taipei,1675170840000,2023-01-31T21:14:00.000+08:00,,60,0,0
Asia/Taipei,1675170900000,2023-01-31T21:15:00.000+08:00,,60,18,18
Asia/Taipei,1675171020000,2023-01-31T21:17:00.000+08:00,,60,0,25
Asia/Taipei,1675171140000,2023-01-31T21:19:00.000+08:00,,60,16,51
Asia/Taipei,1675171200000,2023-01-31T21:20:00.000+08:00,,60,23,74
Asia/Taipei,1675171260000,2023-01-31T21:21:00.000+08:00,,60,62,136
Asia/Taipei,1675171320000,2023-01-31T21:22:00.000+08:00,,60,55,191
Asia/Taipei,1675171380000,2023-01-31T21:23:00.000+08:00,,60,65,256
Asia/Taipei,1675171440000,2023-01-31T21:24:00.000+08:00,,60,0,256
Asia/Taipei,1675171500000,2023-01-31T21:25:00.000+08:00,,60,0,256
Asia/Taipei,1675171560000,2023-01-31T21:26:00.000+08:00,,60,0,256
Asia/Taipei,1675171620000,2023-01-31T21:27:00.000+08:00,,60,0,256
Asia/Taipei,1675171680000,2023-01-31T21:28:00.000+08:00,,60,39,295
Asia/Taipei,1675171740000,2023-01-31T21:29:00.000+08:00,,60,35,330
Asia/Taipei,1675171800000,2023-01-31T21:30:00.000+08:00,,60,21,351
Asia/Taipei,1675171860000,2023-01-31T21:31:00.000+08:00,,60,0,351
Asia/Taipei,1675171920000,2023-01-31T21:32:00.000+08:00,,60,0,351
Asia/Taipei,1675171980000,2023-01-31T21:33:00.000+08:00,,60,15,366
Asia/Taipei,1675172040000,2023-01-31T21:34:00.000+08:00,,60,0,366
Asia/Taipei,1675172100000,2023-01-31T21:35:00.000+08:00,,60,50,416
Asia/Taipei,1675172160000,2023-01-31T21:36:00.000+08:00,,60,70,486
Asia/Taipei,1675172220000,2023-01-31T21:37:00.000+08:00,,60,38,524
Asia/Taipei,1675172280000,2023-01-31T21:38:00.000+08:00,,60,39,563
Asia/Taipei,1675172340000,2023-01-31T21:39:00.000+08:00,,60,31,594
Asia/Taipei,1675172400000,2023-01-31T21:40:00.000+08:00,,60,0,594
Asia/Taipei,1675172460000,2023-01-31T21:41:00.000+08:00,,60,0,594
Asia/Taipei,1675172520000,2023-01-31T21:42:00.000+08:00,,60,44,638
Asia/Taipei,1675172580000,2023-01-31T21:43:00.000+08:00,,60,0,638
Asia/Taipei,1675172640000,2023-01-31T21:44:00.000+08:00,,60,16,654
Asia/Taipei,1675172700000,2023-01-31T21:45:00.000+08:00,,60,0,654
Asia/Taipei,1675172760000,2023-01-31T21:46:00.000+08:00,,60,26,680
Asia/Taipei,1675172820000,2023-01-31T21:47:00.000+08:00,,60,0,680
Asia/Taipei,1675172880000,2023-01-31T21:48:00.000+08:00,,60,13,693
Asia/Taipei,1675172940000,2023-01-31T21:49:00.000+08:00,,60,0,693
Asia/Taipei,1675173000000,2023-01-31T21:50:00.000+08:00,,60,30,723
Asia/Taipei,1675173060000,2023-01-31T21:51:00.000+08:00,,60,3,726
