Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1672675200000,1675440000000

dailySummaryId,calendarDate,timezoneOffsetInMs,unixTimestampInMs,isoDate,durationInMs,activityType,steps,distanceInMeters,activeTimeInMs,activeKilocalories,bmrKilocalories,moderateIntensityDurationInMs,vigorousIntensityDurationInMs,floorsClimbed,minHeartRateInBeatsPerMinute,averageHeartRateInBeatsPerMinute,maxHeartRateInBeatsPerMinute,restingHeartRateInBeatsPerMinute,averageStressInStressLevel,maxStressInStressLevel,stressDurationInMs,restStressDurationInMs,activityStressDurationInMs,lowStressDurationInMs,mediumStressDurationInMs,highStressDurationInMs,stressQualifier,stepsGoal,intensityDurationGoalInMs,floorsClimbedGoal
x4a83fca-63b2ff80-15180-6,2023-01-03,28800000,1672675200000,2023-01-03T00:00:00.000+08:00,86400000,WALKING,5025,4116,5955000,148,2172,0,0,,59,75,103,70,20,50,1320000,8820000,8280000,1320000,,,unknown,4960,9000000,10
x4a83fca-63b45100-15180-6,2023-01-04,28800000,1672761600000,2023-01-04T00:00:00.000+08:00,86400000,WALKING,1826,1496,1560000,91,2172,60000,60000,,61,82,119,78,25,78,480000,1320000,1200000,360000,60000,60000,unknown,4980,9000000,10
x4a83fca-63b5a280-15180-6,2023-01-05,28800000,1672848000000,2023-01-05T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63b6f400-15180-6,2023-01-06,28800000,1672934400000,2023-01-06T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63b84580-15180-6,2023-01-07,28800000,1673020800000,2023-01-07T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63b99700-15180-6,2023-01-08,28800000,1673107200000,2023-01-08T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63bae880-15180-6,2023-01-09,28800000,1673193600000,2023-01-09T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63bc3a00-15180-6,2023-01-10,28800000,1673280000000,2023-01-10T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63bd8b80-15180-6,2023-01-11,28800000,1673366400000,2023-01-11T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63bedd00-15180-6,2023-01-12,28800000,1673452800000,2023-01-12T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c02e80-15180-6,2023-01-13,28800000,1673539200000,2023-01-13T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c18000-15180-6,2023-01-14,28800000,1673625600000,2023-01-14T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c2d180-15180-6,2023-01-15,28800000,1673712000000,2023-01-15T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c42300-15180-6,2023-01-16,28800000,1673798400000,2023-01-16T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c57480-15180-6,2023-01-17,28800000,1673884800000,2023-01-17T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c6c600-15180-6,2023-01-18,28800000,1673971200000,2023-01-18T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c81780-15180-6,2023-01-19,28800000,1674057600000,2023-01-19T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63c96900-15180-6,2023-01-20,28800000,1674144000000,2023-01-20T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63caba80-15180-6,2023-01-21,28800000,1674230400000,2023-01-21T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63cc0c00-15180-6,2023-01-22,28800000,1674316800000,2023-01-22T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
x4a83fca-63cd5d80-15180-6,2023-01-23,28800000,1674403200000,2023-01-23T00:00:00.000+08:00,86400000,WALKING,0,0,0,0,2172,0,0,,,,,,-1,,,,,,,,unknown,4670,9000000,10
