Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166604000,1675402023944

timezone,unixTimestampInMs,isoDate,deviceType,bbi
Asia/Taipei,1675166604000,2023-01-31T20:03:24.000+08:00,garmin_VenuSq2,858
Asia/Taipei,1675166604858,2023-01-31T20:03:24.858+08:00,garmin_VenuSq2,726
Asia/Taipei,1675166605584,2023-01-31T20:03:25.584+08:00,garmin_VenuSq2,731
Asia/Taipei,1675166615000,2023-01-31T20:03:35.000+08:00,garmin_VenuSq2,960
Asia/Taipei,1675166615960,2023-01-31T20:03:35.960+08:00,garmin_VenuSq2,967
Asia/Taipei,1675166616927,2023-01-31T20:03:36.927+08:00,garmin_VenuSq2,916
Asia/Taipei,1675166617843,2023-01-31T20:03:37.843+08:00,garmin_VenuSq2,862
Asia/Taipei,1675166618705,2023-01-31T20:03:38.705+08:00,garmin_VenuSq2,866
Asia/Taipei,1675166619462,2023-01-31T20:03:39.462+08:00,garmin_VenuSq2,850
Asia/Taipei,1675166620415,2023-01-31T20:03:40.415+08:00,garmin_VenuSq2,952
Asia/Taipei,1675166621367,2023-01-31T20:03:41.367+08:00,garmin_VenuSq2,959
Asia/Taipei,1675166622326,2023-01-31T20:03:42.326+08:00,garmin_VenuSq2,940
Asia/Taipei,1675166623266,2023-01-31T20:03:43.266+08:00,garmin_VenuSq2,918
Asia/Taipei,1675166624184,2023-01-31T20:03:44.184+08:00,garmin_VenuSq2,920
Asia/Taipei,1675166625044,2023-01-31T20:03:45.044+08:00,garmin_VenuSq2,888
Asia/Taipei,1675166625932,2023-01-31T20:03:45.932+08:00,garmin_VenuSq2,845
Asia/Taipei,1675166626777,2023-01-31T20:03:46.777+08:00,garmin_VenuSq2,786
Asia/Taipei,1675166627563,2023-01-31T20:03:47.563+08:00,garmin_VenuSq2,857
Asia/Taipei,1675166630696,2023-01-31T20:03:50.696+08:00,garmin_VenuSq2,922
Asia/Taipei,1675166631618,2023-01-31T20:03:51.618+08:00,garmin_VenuSq2,949
Asia/Taipei,1675166632567,2023-01-31T20:03:52.567+08:00,garmin_VenuSq2,884
Asia/Taipei,1675166633451,2023-01-31T20:03:53.451+08:00,garmin_VenuSq2,878
Asia/Taipei,1675166634329,2023-01-31T20:03:54.329+08:00,garmin_VenuSq2,910
Asia/Taipei,1675166634972,2023-01-31T20:03:54.972+08:00,garmin_VenuSq2,685
Asia/Taipei,1675166635657,2023-01-31T20:03:55.657+08:00,garmin_VenuSq2,1019
Asia/Taipei,1675166636676,2023-01-31T20:03:56.676+08:00,garmin_VenuSq2,922
Asia/Taipei,1675166637598,2023-01-31T20:03:57.598+08:00,garmin_VenuSq2,937
Asia/Taipei,1675166639627,2023-01-31T20:03:59.627+08:00,garmin_VenuSq2,916
Asia/Taipei,1675166640543,2023-01-31T20:04:00.543+08:00,garmin_VenuSq2,903
Asia/Taipei,1675166641446,2023-01-31T20:04:01.446+08:00,garmin_VenuSq2,894
Asia/Taipei,1675166642340,2023-01-31T20:04:02.340+08:00,garmin_VenuSq2,873
Asia/Taipei,1675166643213,2023-01-31T20:04:03.213+08:00,garmin_VenuSq2,902
Asia/Taipei,1675166644048,2023-01-31T20:04:04.048+08:00,garmin_VenuSq2,942
Asia/Taipei,1675166644990,2023-01-31T20:04:04.990+08:00,garmin_VenuSq2,947
Asia/Taipei,1675166645937,2023-01-31T20:04:05.937+08:00,garmin_VenuSq2,943
Asia/Taipei,1675166646880,2023-01-31T20:04:06.880+08:00,garmin_VenuSq2,960
Asia/Taipei,1675166648869,2023-01-31T20:04:08.869+08:00,garmin_VenuSq2,951
